Mon_ID;Land_ID;Produkt_ID;Umsatzplan
201901;01;1001;120.00
201901;01;1002;60.00
201901;01;1003;130.00
201901;01;1004;70.00
201901;01;1005;110.00
201901;01;1006;10.00
201901;01;1007;80.00
201901;01;1008;30.00
201901;01;1009;90.00
201901;01;1010;270.00
201901;01;1011;80.00
201901;01;1012;70.00
201901;01;1013;60.00
201901;01;1101;120.00
201901;01;1102;110.00
201901;01;1103;40.00
201901;01;1104;30.00
201901;01;1105;80.00
201901;01;1106;30.00
201901;01;1107;30.00
201901;01;1108;70.00
201901;01;1109;20.00
201901;01;1110;180.00
201901;01;1111;100.00
201901;01;1112;120.00
201901;01;1113;80.00
201901;01;1201;20.00
201901;01;1202;110.00
201901;01;1203;40.00
201901;01;1204;370.00
201901;01;1205;40.00
201901;01;1206;20.00
201901;01;1207;160.00
201901;01;1208;40.00
201901;01;1209;30.00
201901;01;1301;270.00
201901;01;1303;40.00
201901;01;1304;10.00
201901;01;1305;20.00
201901;01;1306;10.00
201901;01;1307;220.00
201901;01;1308;40.00
201901;01;1309;90.00
201901;01;1310;230.00
201901;01;1312;10.00
201901;01;1314;60.00
201901;01;1315;30.00
201901;01;1316;110.00
201901;01;1317;10.00
201901;01;1318;140.00
201901;01;1401;40.00
201901;01;1402;80.00
201901;01;1403;70.00
201901;01;1404;30.00
201901;01;1405;590.00
201901;01;1406;200.00
201901;01;1407;90.00
201901;01;1408;10.00
201901;01;1409;30.00
201901;01;1410;80.00
201901;01;1411;130.00
201901;01;1412;30.00
201901;01;1413;40.00
201901;01;1502;10.00
201901;01;1504;10.00
201901;01;1505;10.00
201901;01;1506;10.00
201901;01;1507;20.00
201901;01;1508;20.00
201901;01;1510;40.00
201901;01;1511;10.00
201901;01;1512;30.00
201901;01;1513;190.00
201901;01;1514;200.00
201901;01;1515;20.00
201901;01;1516;430.00
201901;01;1517;520.00
201901;01;1518;60.00
201901;01;1601;30.00
201901;01;1602;30.00
201901;01;1603;100.00
201901;01;1604;30.00
201901;01;1605;60.00
201901;01;1606;30.00
201901;01;1607;30.00
201901;01;1608;360.00
201901;01;1609;20.00
201901;01;1701;20.00
201901;01;1702;10.00
201901;01;1703;10.00
201901;01;1704;110.00
201901;01;1705;50.00
